fiche_indicateur;id_indicateur;Nom_theme;famille_indicateur;Sous-groupe d'objectif;nom_indicateur;description_indicateur;actif;priorite;unite;objectif;modalités;support_spatial;Ponderation;spatialisation_H3;normalisation_methode;sens_indicateur;definition_criticite;quantitatif_qualitatif;discret_continue;relatif_absolu;Implantation;representation;synthese_echanges;
1;1;Enjeux AEP;Enjeu;Robustesse et résilience technique;Capacité de production;Quantité d’eau que la source peut fournir (référence de période sèche).;oui;oui;m3/j;Comparer la capacité des captages à fournir de l’eau en période contrainte (sécheresse, innondation, glissement de terrain) afin d’identifier les ressources les plus robustes ou les plus limitées.;Affectation au captage puis propagation aux unités associées (bassin versant, périmètres, unité de distribution).;Captage;Oui;Non;Classes 3 niveaux (quantiles ou seuils métier);Positif (absence = critique / plus = mieux);Faible capacité = forte criticité (vulnérable), forte capacité = faible criticité;Quantitatif;Continue;Absolu;Ponctuelle;Cercle proportionnel;Donnée issue DAVAR. Indicateur porté par le captage puis propagé au BV. Discussion sur agrégation multi-captages et intégration dans analyse multicritère avec normalisation.;
2;2;Enjeux AEP;Enjeu;Poids stratégique de la desserte;Longueur réseau;Longueur totale des canalisations d’eau potable.;oui;oui;km;Comparer l’importance des infrastructures dépendantes de chaque captage afin d’identifier ceux dont la défaillance aurait le plus d’impact.;Agrégation par unité de distribution puis association au captage, en évitant les doublons.;UD;Oui;Non;Classes 3 niveaux;Positif (absence = critique / plus = mieux);Plus le réseau est long, plus les enjeux sont élevés → criticité stratégique élevée;Quantitatif;Continue;Absolu;Ponctuelle;Cercle proportionnel;Donnée UD (unité de distribution). Problème de structuration base DAS (non relationnelle). Attention aux doublons si plusieurs captages alimentent une même UD.;
3;3;Enjeux AEP;Enjeu;Robustesse et résilience technique;Capacité réservoir;Quantité d’eau pouvant être stockée pour faire face aux besoins.;oui;oui;m3;Comparer la capacité de stockage associée aux captages afin d’identifier les systèmes les plus résilients face aux aléas.;Somme des volumes par unité de distribution, puis rattachement au captage.;UD;Oui;Non;Classes 3 niveaux;Positif (absence = critique / plus = mieux);Faible stockage = forte criticité (manque résilience), fort stockage = faible criticité;Quantitatif;Continue;Absolu;Ponctuelle;Cercle proportionnel;Indicateur UD → captage → BV. Même logique que réseau. Sert à caractériser les infrastructures AEP dans l’analyse multicritère.;
4;4;Enjeux AEP;Enjeu;Sécurisation sanitaire;Traitement;Type de traitement appliqué à l’eau avant distribution.;oui;oui;Classe (pas de traitement / traitement partiel / traitement complet);Comparer le niveau de sécurisation sanitaire des captages afin d’identifier ceux présentant des risques pour l’alimentation en eau potable.;Attribution d’une classe standardisée par unité de distribution, puis association au captage.;UD;Oui;Non;Catégoriel mappé (1-3);Positif (absence = critique / plus = mieux);Absence de traitement = criticité forte (bien que si des traitements sont fait c’est que la ressource est déjà impactée par des polluants), traitement complet = criticité faible;Qualitatif;Discrète;Absolu;Ponctuelle;Couleur;Donnée UD. Sert à qualifier la sécurisation AEP. Intégré comme indicateur d’enjeu (niveau d’équipement).;
5;5;Enjeux AEP;Enjeu;Robustesse et résilience technique;Interconnexion;Présence de connexions avec d’autres réseaux d’eau.;oui;oui;Oui/Non;Comparer le niveau de dépendance des captages à une ressource unique afin d’identifier ceux pouvant bénéficier d’un captage de secours.;Attribution d’un statut binaire par unité de distribution, sans agrégation complexe.;UD;Non;Non;Binaire (1 & 3);Positif (absence = critique / plus = mieux);Absence d’interconnexion = forte criticité (pas de secours), présence = criticité faible (à confirmer);Qualitatif;Discrète;Absolu;Ponctuelle;Texte;Indicateur UD. Débat : diminue vulnérabilité mais peut propager pollution. Sens non tranché pour pondération.;
6;6;Enjeux AEP;Enjeu;Poids stratégique de la desserte;Population desservie;Nombre de personnes alimentées par la ressource.;oui;oui;Nombre;Comparer les captages selon le nombre de personnes dépendantes afin d’identifier les ressources les plus stratégiques pour l’alimentation en eau.;Affectation par unité de distribution puis agrégation au captage.;UD;Oui;Non;Classes 3 niveaux;Négatif (plus = enjeu fort);Plus la population est élevée, plus le captage est stratégique → criticité élevée;Quantitatif;Continue;Absolu;Ponctuelle;Cercle proportionnel;Donnée UD issue de la méthode exploité dans le projet pressionPPE. Indicateur clé d’enjeu. Utilisé dans pondération multicritère.;
7;7;Enjeux AEP;Enjeu;Conformité réglementaire;Statut AODPE;Présence ou non d’une autorisation officielle.;oui;oui;Oui/Non;Comparer les captages selon leur niveau de conformité réglementaire afin d’identifier les situations à risque.;Attribution directe au captage, sans transformation.;Captage;Oui;Non;Binaire (1 & 3);Positif (non conforme = critique);Absence d’autorisation = criticité forte (non conformité);Qualitatif;Discrète;Absolu;Ponctuelle;Couleur;Indicateur captage. Donnée réglementaire DAVAR. Oui/non. Important pour conformité et intégration dans analyse.;
8;8;Enjeux AEP;Enjeu;Sécurisation réglementaire;Statut PPE;Statut de protection légal et spatial autour de la ressource d’eau potable.;oui;oui;Oui / En cours / Non / historique (Etat);Comparer les captages selon leur niveau de protection afin d’identifier ceux les plus exposés aux pressions.;Attribution directe au captage, sans transformation.;Captage;Oui;Non;Catégoriel mappé (1-3);Négatif (non protégé = critique);Captage non protégé = forte criticité;Qualitatif;Discrète;Absolu;Ponctuelle;Couleur;Indicateur captage. Statut (oui/en cours/non). Instruction longue. Critère important de vulnérabilité réglementaire.;
9;9;Enjeux AEP;Enjeu;Vulnérabilité technique et contexte;Type ouvrage;Type de captage (captage, forage, tranchée drainante).;oui;oui;Classe (forage / captage / tranchée drainante);Comparer les captages selon leur vulnérabilité intrinsèque liée à leur nature {un captage superficiel est considéré comme plus vulnérable qu'un forage profond dans les calculs de criticité);Attribution directe au captage, sans transformation.;Captage;Oui;Non;Catégoriel mappé (1-3);Négatif (superficiel = critique);Captage superficiel = plus vulnérable → criticité forte;Qualitatif;Discrète;Absolu;Ponctuelle;Couleur;Impact direct sur vulnérabilité (forage < superficiel). Peut être intégré dans la pondération selon le type.;
10;10;Enjeux AEP;Enjeu;Contextualisation;Statut captage;Statut d’utilisation (actif, secours, abandonné).;oui;oui;Classe (actif, secours, inactif, abandonné).;Distinguer les captages selon leur statut afin de contextualiser leur valeur dans la comparaison.;Attribution directe au captage, sans transformation. Utilisation à titre informatif;Captage;Non;Non;Catégoriel mappé (1-3);Neutre (info);Captage actif = enjeu, secours/inactif = criticité moindre;Qualitatif;Discrète;Absolu;Ponctuelle;Texte;Information descriptive captage. Utile pour interface mais pas forcément intégré dans calcul multicritère.;
