id_groupe;groupe;theme;Objectif;rôle;explication_role;aide à la décision
1;Poids stratégique de la desserte;Enjeux AEP;Identifier les ressources dont la défaillance impacterait le plus grand nombre d'habitants ou le plus important linéaire d'infrastructures de distribution.;Pilotage;Définit les priorités d'investissement et l'importance socio-économique de la ressource.;
2;Robustesse et résilience technique;Enjeux AEP;Évaluer la capacité de production en période sèche et la présence de dispositifs de secours (stockage, interconnexion) pour garantir la continuité du service.;Pilotage;Guide la mise en conformité légale et les actions de protection réglementaire.;
3;Sécurisation sanitaire et réglementaire;Enjeux AEP;Mesurer le niveau de conformité administrative (AODPE) et de protection physique (PPE/Traitement) pour identifier les risques d'exposition aux pollutions.;;;
4;Vulnérabilité technique et contexte;Enjeux AEP;Différencier les ressources selon leur nature (ouvrage) et leur usage actuel pour affiner la comparaison entre les points d'eau.;Diagnostic & Modulation;Caractérise la sensibilité propre de l'ouvrage (ex: forage vs captage superficiel).;
5;Valeur patrimoniale et réglementaire;Enjeux Environnementaux;Repérer les bassins versants inscrits dans des périmètres de reconnaissance mondiale ou locale (UNESCO, aires protégées) nécessitant une gestion exemplaire.;Veille;Assure le suivi des engagements de conservation et des contraintes réglementaires associées.;
6;Richesse biologique et rareté;Enjeux Environnementaux;Localiser les zones de biodiversité critique (KBA, espèces menacées) qui dépendent du maintien de la qualité de la ressource en eau.;Veille;Surveille l'état des écosystèmes sensibles dépendants de la ressource en eau.;
7;État écologique et rôle protecteur;Enjeux Environnementaux;Qualifier l'intégrité de la couverture végétale naturelle agissant comme un filtre et un régulateur naturel contre le ruissellement.;Diagnostic & Modulation;Mesure la capacité naturelle du milieu à protéger la ressource par filtration.;
8;Perturbations majeures du milieu (Aléa);Pressions Environnementales;Identifier les bassins dont l'équilibre écologique a été rompu par des événements destructeurs comme les incendies.;Veille;Permet une réaction rapide face aux chocs brutaux impactant le bassin versant.;
9;Fragilité des sols et transferts (chronique);Pressions Environnementales;Détecter les zones de sols nus ou instables qui favorisent le transport de sédiments et de polluants vers les points de captage.;Veille;Assure la surveillance de la dégradation structurelle et lente des sols.;
10;Activités à risque;Pressions Anthropiques;Recenser les implantations industrielles (ICPE) ou minières pouvant générer des pollutions accidentelles ou chroniques.;Pilotage;Oriente les contrôles de la police de l'eau et la surveillance des sites industriels.;
11;Niveau d'artificialisation et densité;Pressions Anthropiques;Quantifier l'emprise du bâti et de l'habitat pour évaluer la pression directe exercée par l'occupation humaine sur le milieu.;Veille;Suit l'évolution de l'empreinte humaine et de l'imperméabilisation des sols.;
12;Infrastructures et risques de dégradation des eaux ;Pressions Anthropiques;Identifier les points de contact entre les réseaux de transport et le milieu hydrographique pour localiser les zones à risque de pollution (ruissellement routier, accidents) et de dégradation de la qualité des cours d'eau (sédimentation, modification des écoulements);Veille;Cible les points de vigilance pour prévenir les pollutions liées au ruissellement routier.;
13;Tension des usages;Pressions Quantitatives;Identifier les situations de déséquilibre entre les besoins humains et l'eau disponible en croisant les prélèvements réels et le diagnostic de déficit. ;Pilotage;Relève du pilotage : déclenche les restrictions ou les limitations de nouvelles autorisations.;Relève du pilotage. Si cet indicateur est rouge (trop de prélèvements autorisés), cela signifie qu'il faut limiter les nouvelles autorisations (AODPE)
14;Apports naturels;Pressions Quantitatives;Contextualiser la ressource disponible (pluie, nappes).;Veille;Relève de la veille : observation du contexte climatique pour la gestion de crise.;Relève de la veille. Si cet indicateur est rouge (sécheresse), on est dans la gestion de crise climatique
15;Sensibilité naturelle;Vulnérabilité Intrinsèque;Qualifier la propension naturelle du terrain à laisser circuler les polluants vers les eaux souterraines ou superficielles selon ses propriétés géologiques.;Diagnostic & Modulation;Définit le socle physique immuable qui module (amplifie ou réduit) l'impact des pressions.;
16;État sanitaire et suivi de la qualité;Pressions Qualitatives;Identifier les captages dont la qualité de l'eau est dégradée afin de prioriser les actions de gestion ou de protection. ;Pilotage;Sert de diagnostic de confirmation pour valider l'impact réel des pressions sur la ressource.;
